halloween costume	entrepreneur	ghost	witch	mummy	zombie
wealth adjectives	colorful	poor	rich	wealthy	destitute
human bone	gills	tibia	coccyx	sternum	clavicle
surgical procedure	chemistry	rhinoplasty	vasectomy	angioplasty	appendectomy
hand tool	computer	hammer	screwdriver	wrench	pliers
marsupial	kiwi	kangaroo	koala	wallaby	wombat
spotted animal	collie	leopard	dalmation	appaloosa	giraffe
flightless bird	eagle	ostrich	penguin	emu	rhea
shellfish	tuna	mussel	oyster	clam	scallop
sundae topping	peas	hot fudge	cherry	whipped cream	nuts
fluidity verbs	compose	gush	spurt	drip	dribble
shape	chime	circle	square	rectangle	triangle
hair style	raven	beehive	bob	mohawk	pixie cut
type of storm	earthquake	hailstorm	thunderstorm	blizzard	hurricane
form of exercise	typewriters	jumping jacks	chinups	pushups	crunches
lizard	sparrow	iguana	gecko	salamander	chameleon
first aid item	caboose	bandage	peroxide	cotton ball	gauze
legume	brain	lima	pinto	kidney	fava
metals	hydrogen	gold	aluminum	copper	tin
pack animal	sheep	donkey	camel	horse	yak
sense	walk	smell	touch	taste	sight
metric unit	mile	joule	kilometer	kilogram	watt
intelligence adjectives	strong	smart	stupid	dim	intelligent
weapon	bunnies	gun	knife	grenade	bayonet
type of puzzle	tennis	jigsaw puzzle	crossword	sudoku	word search
source of fire	chocolate	match	charcoal	lighter	kerosene
unit of volume	kilogram	liter	gallon	ounce	milliliter
medical occupation	lawyer	doctor	dentist	psychologist	veterinarian
military vehicle	wheelbarrow	tank	aircraft carrier	humvee	battleship
simple machines	hammer	lever	pulley	wedge	screw
force of nature	bomb	hurricane	tsunami	earthquake	tornado
bodily fluid	juice	sweat	blood	saliva	tears
unit of time	pound	minute	fortnight	hour	month
extreme sport	ballet	skydiving	parkour	hang gliding	kitesurfing
big cat	bear	cheetah	jaguar	lion	tiger
cookies	crab	shortbread	biscotti	gingerbread	chocolate chip
construction vehicle	limousine	crane	cement mixer	dump truck	bulldozer
humor adjectives	boring	funny	humorous	comical	hilarious
berry	orange	strawberry	raspberry	blueberry	boysenberry
forces	refutation	magnetism	gravity	weak nuclear	strong nuclear
type of dwelling	train	condo	house	apartment	trailer home
type of weather	spongy	rainy	sunny	windy	cloudy
gland	elementary	adrenal	pituitary	thyroid	mammary
branch of science	pedagogy	biology	chemistry	physics	geology
branch of math	optimism	statistics	calculus	logic	algebra
office equipment	wrench	stapler	copier	printer	computer
brown food	strawberry	beef gravy	chocolate	brown rice	portobello mushroom
type of wood	kelp	balsa	cedar	pine	mahogany
element	water	hydrogen	oxygen	mercury	lithium
potato chip flavor	strawberry	sour cream and onion	salt and vinegar	barbecue	plain
source of light	asteroid	sun	torch	lamp	star
southern food	sushi	fried chicken	collards	cornbread	grits
crustacean	salmon	crab	lobster	shrimp	crayfish
foot part	ear	toe	heel	sole	ankle
energy types	political	potential	kinetic	electrical	mechanical
desert animal	panda	rattlesnake	camel	scorpion	lizard
vegetarian dishes	bacon	tofu	lentils	seitan	tempeh
lizards	wasp	chameleon	gila monster	iguana	gecko
monster	hacker	frankenstein	werewolf	vampire	yeti
striped animal	mosquito	zebra	tiger	skunk	bumblebee
vowel	W	A	E	I	O
precipitation	sun	rain	snow	sleet	hail
french word	coffee	noir	merci	bonjour	adieu
spider	hornet	black widow	tarantula	daddy longlegs	brown recluse
shade of green	crimson	lime	avocado	olive	mint
explosion sound	moo	boom	wham	kaboom	kapow
type of sweater	bottleneck	cardigan	pullover	v-neck	turtleneck
holes	mountain	crater	valley	rift	canyon
skiing equipment	toboggan	skis	boots	poles	bindings
beach accessory	castanets	shovel	towel	umbrella	pail
contagious disease	cancer	malaria	mumps	measles	polio
pasta type	biscotti	tortellini	lasagna	spaghetti	rigatoni
jewelry	tie	necklace	earring	bracelet	ring
pirate phrase	holy cow	walk the plank	swab the deck	keelhaul	ahoy matey
bird of prey	canary	hawk	eagle	vulture	falcon
insect part	skull	wing	abdomen	thorax	antenna
amusement park ride	popcorn	roller coaster	carousel	ferris wheel	tilt-a-whirl
coniferous trees	oak	spruce	pine	cedar	fir
bones	diameter	humerus	femur	radius	ulna
fruit juice	carrot	apple	pomegranate	orange	lemon
edible plant	grass	carrot	celery	potato	asparagus
movie snack	pasta	popcorn	soda	pretzel	candy
mushroom	gala	shiitake	cremini	portobello	chanterelle
medical instrument	escalator	stethoscope	scalpel	defibrillator	thermometer
farm crop	oil	corn	wheat	soybean	rice
playground game	luge	hide and seek	tag	hopscotch	tetherball
body of water	desert	river	stream	lake	pond
unit of liquid measurement	pound	gallon	milliliter	quart	liter
flower part	corn	stamen	pistil	petal	calyx
building material	marshmallow	wood	concrete	metal	brick
math operation	collate	multiply	divide	add	subtract
face part	toe	nose	eye	cheek	chin
baseball equipment	vampire	bat	glove	baseball	base
primate	lobster	orangutan	chimpanzee	gorilla	monkey
stringed instrument	oboe	guitar	harp	violin	banjo
meat	eggplant	pork	venison	veal	beef
speech verbs	collapse	reply	say	ask	inquire
coffee drink	rooibos	mocha	macchiato	latte	cappuccino
type of cloud	rainbow	cumulus	cirrus	funnel	stratus
eating utensil	vase	fork	spoon	knife	chopsticks
chess piece	spade	king	queen	pawn	rook
type of fabric	plaid	cotton	silk	polyester	rayon
