coffee brand	Ferrari	Illy	Starbucks	Nescafe	Folgers
michael jackson song	Goodbye Yellow Brick Road	Thriller	Billie Jean	Smooth Criminal 	Beat it
car model	Toyota	Sentra	Prius	Camry	Accord
cable tv channel	NRA	HBO	Showtime	Bravo	MTV
fictional character	Paul Allen	Santa Claus	Wonder Woman	Bilbo Baggins	Harry Potter
theme park	Ikea	Disneyland	Universal Studios	SeaWorld	Six Flags
goddess	Madonna	Athena	Hera	Demeter	Aphrodite
football team	Oakland Athletics	Dallas Cowboys	Buffalo Bills	Seattle Seahawks	Detroit Lions
star	Milky Way	Alpha Centauri	Polaris	Canis Majorus	Sirius
nursery rhyme	Howl	Mary Had a Little Lamb	Little Jack Horner	Hey Diddle Diddle	Jack and Jill
world series winner	Seattle Seahawks	Boston Red Sox	San Francisco Giants	St. Louis Cardinals	Chicago White Sox
cold medicine	Valium	Sudafed	NyQuil	Vicks	Robitussin
pen brand	Frito-Lay	Bic	Parker	Waterman	Pilot
central american country	Peru	Honduras	Costa Rica	Belize	Guatemala
time zone	Desert	Pacific	Mountain	Central	Eastern
elvis song	Smells Like Teen Spirit	Love Me Tender	Jailhouse Rock	Viva Las Vegas	Hound Dog
battery brand	Cuisinart	Energizer	Duracell	Panasonic	Rayovac
play	Dora the Explorer	Our Town	Romeo and Juliet	Hamlet	The Crucible
cough drop brand	Twizzlers	Vicks	Halls	Ricola	Sucrets
national park	Kerry	Yellowstone	Grand Canyon	Yosemite	Zion
actress	Hillary Clinton	Julia Roberts	Sandra Bullock	Cate Blanchett	Meryl Streep
continent	Greenland	Asia	Europe	South America	Africa
child movie star	Brad Pitt	Shirley Temple	Dakota Fanning	Macaulay Culkin	Christina Ricci
skyscraper	Taj Mahal	Empire State Building	Shanghai Tower	Taipei 101	Sears Tower
roman god	Athena	Cupid	Jupiter	Venus	Mars
yoga pose	racehorse	child's pose	tree pose	warrior pose	downward-facing dog
tv news shows	Saturday Night Live	Dateline NBC	Nightline	20/20	60 Minutes
bank	Enron	Wells Fargo	Citibank	Bank of America	Chase
fictional city/town	Monte Carlo	Emerald City	Metropolis	Rivendell	Gotham City
70s tv show	12 Years a Slave	Happy Days	All in the Family	The Brady Bunch	The Jeffersons
opera singer	Elton John	Luciano Pavarotti	Maria Callas	Placido Domingo	Kiri Te Kanawa
religious figure	Prince	Jesus Christ	Buddha	Muhammed	Moses
super bowl winner	Carolina Panthers	Seattle Seahawks	Green Bay Packers	New York Jets	Dallas Cowboys
boy's name	Maria	John	Michael	Daniel	Andrew
restaurant	JC Penney	Benihana	Cheesecake Factory	IHOP	Denny's
computer brand	Honda	Apple	Hewlett-Packard	Dell	IBM
madonna song	Hey Jude	Like a Virgin	Material Girl	La Isla Bonita	Like a Prayer
science fiction author	John Grisham	Isaac Asimov	Arthur C. Clarke	Ray Bradbury	Philip K. Dick
canadian city	Detroit	Toronto	Vancouver	Montreal	Ottawa
cell phone brand	Reebok	Motorola	Samsung	Nokia	Apple
oscar winner	Peter O'Toole	Daniel Day-Lewis	Forest Whitaker	Julie Andrews	Nicole Kidman
famous battle	Custer	Gettysburg	Bulge	Normandy	Verdun
comic strip	Persepolis	Cathy	Doonesbury	Peanuts	Garfield
wizard	Frodo	Gandalf	Dumbledore	Saruman	Merlin
scandanavian city	Rome	Stockholm	Copenhagen	Oslo	Reykjavik
songwriting duo	Bonnie and Clyde	Elton John and Bernie Taupin	John Lennon and Paul McCartney	George and Ira Gershwin	Rodgers and Hammerstein
football player	Pete Rose	Peyton Manning	Joe Montana	John Elway	Tom Brady
novel	Houston Astros	A Tale of Two Cities	Gravity's Rainbow	Wuthering Heights	Anne of Green Gables
federal holiday	Tuesday	Memorial Day	Fourth of July	Labor Day	Martin Luther King Day
energy drink	warm milk	Red Bull	Mountain Dew	Jolt Cola	coffee
tv cartoon	Frasier	Simpsons	Dora the Explorer	Family Guy	Powerpuff Girls
tiny country	Russia	Monaco	Tuvalu	Mauritius	Luxembourg
french city	Florence	Paris	Lyon	Avignon	Toulouse
pianist	Keith Richards	Liberace	Sergei Rachmaninoff	Frederic Chopin	Thelonius Monk
19th century author	Sherlock Holmes	Ralph Emerson	Charles Dickens	Walt Whitman	Arthur Conan Doyle
hitchcock film	Jaws	Psycho	The Birds	Rear Window	Vertigo
lotr character	Hermione	Frodo	Sauron	Gollum	Pippin
ivy league school	Stanford	Cornell	Princeton	Brown	Harvard
american author	Dostoevsky	Kerouac	Steinbeck	Hawthorne	Hemingway
action movie	Sleepless in Seattle	Predator	Die Hard	Rambo	Bloodsport
dr. seuss book	The Secret Garden	The Cat in the Hat	The Lorax	How the Grinch Stole Christmas	Horton Hears a Who
olympic gold medalist	Babe Ruth	Usain Bolt	Michael Phelps	Jesse Owens	Surgey Bubka
makeup brand	Sears	L'Oreal	Cover Girl	Maybelline	Revlon
painting 	Venus de Milo	Mona Lisa	Irises	The Scream	Starry Night
basketball player	Ken Griffey	Michael Jordan	Magic Johnson	Shaquille O'Neal	Lebron James
nickname	Paul	Nick	Bob	Rick	Pete
soccer team	Wilson	Sounders	Galaxy	Timbers	Whitecaps
us city	Toronto	Chicago	Seattle	Los Angeles	Philadelphia
vacation spot	Yukon	Hawaii	Jamaica	Fiji	Tahiti
rock musician	Johann Sebastian Bach	Bruce Springsteen	Jimi Hendrix	Mick Jagger	David Bowie
gas station	Walgreens	Chevron	Texaco	Exxon	Mobil
peanuts character	Picasso	Snoopy	Charlie Brown	Lucy	Schroeder
golf pro	Michael Jordan	Tiger Woods	Arnold Palmer	Jack Nicklaus	Rory Mcllroy
children's author	George Eliot	A. A. Milne	Dr. Seuss	Judy Blume	Beverly Cleary
newscaster	Tina Fey	Anderson Cooper	Connie Chung	Katie Couric	Wolf Blitzer
watch brand	Purina	Casio	Timex	Rolex	Bulova
photographer	Victor Hugo	Annie Leibovitz	Ansel Adams	Jacob Riis	Anne Geddes
car maker	Sony	Buick	Dodge	Subaru	BMW
basketball team	49ers	Lakers	Bulls	Celtics	Knicks
famous epidemic	Saturday Night Fever	Black Death	Yellow Fever	Swine Flu	Ebola
famous alien	Cloth	E.T.	Stitch	Spock	Mork
tv actor	Peter Jennings	Neil Patrick Harris	Sarah Michelle Gellar	Gary Coleman	Lucy Liu
70s band	Backstreet Boys	The Rolling Stones	Pink Floyd	Queen	AC/DC
state capital	Seattle	Lansing	Salem	Sacramento	Austin
cat breed	Labrador	Siamese	Persian	Manx	Tonkinese
us president	Blair	Obama	Clinton	Roosevelt	Lincoln
advice columnist	Dan Ackroyd	Dear Abby	Miss Manners	Ann Landers	Dan Savage
space shuttle	Pathfinder	Challenger	Endeavour	Atlantis	Columbia
biblical figure	Bruegel	Jesus	Moses	Noah	Abraham
peanut butter brand	Smuckers	Kraft	Jif	Skippy	Peter Pan
james bond movie	E.T.	Goldfinger	Thunderball	Moonraker	Octopussy
famous cowboy	Babe Ruth	Roy Rogers	Lone Ranger	Hopalong Cassidy	Shane
shakespeare play	Cabaret	Hamlet	Macbeth	Othello	King Lear
female singer	Bono	Madonna	Cher	Bjork	Jewel
unisex name	Albert	Sam	Alex	Pat	Chris
scandinavian country	Ireland	Norway	Iceland	Sweden	Denmark
yogurt brand	Heinz	Yoplait	Dannon	Fage	Chobani
car brands	Schwinn	Honda	Toyota	Volkswagen	Ford
harry potter book	The Name of the Rose	The Chamber of Secrets	The Prisoner of Azkaban	The Goblet of Fire	The Deathly Hallows
fashion magazine	Newsweek	Vogue	Cosmopolitan	Elle	Glamour
