soap opera	Seinfeld	Guiding Light	General Hospital	All My Children	Days of our Lives
radio show (host)	Halle Berry	Rush Limbaugh	Howard Stern	Dr. Laura	Tavis Smiley
mountain range	Galapagos	Rockies	Alps	Himalayas	Andes
shoe brand	Hanes	Converse	Nike	Adidas	Reebok
prescription drug	butter	Viagra	Vicodin	Valium	Codine
jeans brand	Nike	Guess	Gap	Levis	Wrangler
dance move	Programmer	Worm	Running Man	Moon Walk	Robot
latin american author	Barack Obama	Jorge Luis Borges	Isabel Allende	Gabriel Garcia Marquez	Pablo Neruda
soup brand	Chiquita	Campbell's	Progresso	Chunky	Knorr
south american country	China	Brazil	Argentina	Chile	Peru
soda/pop	balloon	root beer	cola	Sprite	Mountain Dew
chef	Roger Ebert	Julia Child	Anthony Bourdain	Marcus Samuelsson	Alice Waters
rolling stones song	A Hard Day's Night	Wild Horses	Satisfaction	Gimme Shelter	Brown Sugar
animated movie	Titanic	Bambi	Pocahontas	Up	Aladdin
baseball player	Dwight Eisenhower	Hank Aaron	Babe Ruth	Mickey Mantle	Willie Mays
news magazine	Bon Appetit	Time	Newsweek	The Economist	U.S. News & World Report
quarterback	Barry Sanders	Joe Montana	John Elway	Peyton Manning	Brett Favre
african city	Rio de Janeiro	Cairo	Marrakesh	Johannesburg	Addis Ababa
star wars character	Spock	Luke	Leia	Han Solo	Chewbacca
chewing gum	Doritos	Doublemint	Orbit	Trident	Chiclets
serial killer	Tiny Tim	Ted Bundy	Jack the Ripper	Dexter Morgan	Sweeney Todd
religious book	Constitution	Quran	Torah	Bible	Talmud
hotel	Burger King	Hilton	Sheraton	Four Seasons	Hyatt
soccer player	Rocky Balboa	Pele	David Beckham	Cristiano Ronaldo	Diego Maradona
college	Neptune	Harvard	Yale	Stanford	Oxford
children's song	Purple Rain	Ring Around the Rosie	Farmer in the Dell	Itsy Bitsy Spider	The Wheels on the Bus
super villain	Superman	The Joker	Magneto	The Green Goblin	Lex Luther
philosopher	Columbus	Kant	Kierkegaard	Plato	Aristotle
bottled water brand	Sprite	Dasani	Fiji	Aquafina	Evian
spanish city	Lisbon	Barcelona	Madrid	Toledo	Seville
beatles song	Tomorrow	Help!	Blackbird	Let It Be	Yesterday
european city	Manila	Munich	London	Dublin	Milan
boy band	Bob Dylan	New Kids on the Block	Backstreet Boys	One Direction	Jonas Brothers
italian city	Athens	Venice	Rome	Milan	Naples
poet	Quayle	Keats	Yeats	Whitman	Shelley
greek god	Herodotus	Zeus	Athena	Dionysus	Poseidon
girl's name	Marcus	Jane	Sophie	Diana	Susan
cult leader	James Bond	Charles Manson	Jim Jones	David Koresh	Marshall Applewhite
wwf wrestler	George Clooney	Hulk Hogan	Andre the Giant	Randy Savage	The Rock
