red	flamingo	heart	cherry	fire truck	Mars
orange	avocado	sweet potato	orange	pumpkin	canteloupe
yellow	bluebird	lemon	egg yolk	canary	macaroni
green	skeleton	shamrock	celery	leprechaun	alligator
blue	paper bag	sky	blue jay	jeans	ocean
purple	bluebird	taro	lilac	plum	lavender
brown	taro	walnut	wood	pretzel	beaver
black	sweet potato	videotape	licorice	crow	black widow
white	night sky	rice	cloud	iceberg	swan
pink	turtle	pig	bubble gum	pink grapefruit	eraser
red	plum	cardinal	cherry	tomato	heart
orange	tongue	canteloupe	goldfish	monarch butterfly	carrot
yellow	pretzel	chick	taxi	corn kernel	daffodil
green	monarch butterfly	avocado	Statue of Liberty	frog	alligator
blue	beaver	jeans	sky	blueberry	bluebird
purple	turtle	grape	eggplant	amethyst	lavender
brown	rubber duck	walnut	beaver	grizzly bear	iced tea
black	rubber duck	tuxedo	licorice	black widow	videotape
white	licorice	swan	cloud	tooth	polar bear
pink	amethyst	eraser	cotton candy	bubble gum	pig
red	corn kernel	fire truck	cardinal	ladybug	stop sign
orange	turtle	pumpkin	carrot	canteloupe	orange
yellow	ruby	canary	corn kernel	lemon	omelet
green	goldfish	grass	alligator	emerald	leprechaun
blue	cork	blue whale	sky	bluebird	ocean
purple	flamingo	amethyst	eggplant	lavender	violet
brown	violet	soil	beaver	grizzly bear	paper bag
black	macaroni	top hat	coal	night sky	tuxedo
white	ocean	dove	polar bear	swan	tooth
pink	ocean	tongue	eraser	flamingo	pig
red	canteloupe	cherry	ruby	strawberry	heart
orange	iced tea	goldfish	monarch butterfly	basketball	orange
yellow	tomato	rubber duck	canary	lemon	chick
green	canteloupe	turtle	cactus	avocado	Statue of Liberty
blue	tongue	blueberry	sapphire	jeans	blue jay
purple	top hat	amethyst	plum	taro	lilac
brown	sapphire	teddy bear	beaver	iced tea	soil
black	orange	chalkboard	black widow	labrador	top hat
white	orange	snowman	cloud	rice	snowflake
pink	sapphire	eraser	bubble gum	pink grapefruit	pig
red	labrador	lips	lobster	cardinal	chile pepper
orange	tongue	sweet potato	carrot	orange	monarch butterfly
yellow	sweet potato	school bus	taxi	sun	canary
green	soil	turtle	emerald	frog	avocado
blue	cardinal	sky	blueberry	Uranus	cornflower
purple	night sky	eggplant	amethyst	grape	taro
brown	amethyst	iced tea	paper bag	wood	pretzel
black	snowman	black widow	videotape	top hat	crow
white	leprechaun	milk	rice	iceberg	cloud
pink	heart	flamingo	bubble gum	tongue	strawberry ice cream
red	Statue of Liberty	ladybug	lips	Mars	fire truck
orange	corn kernel	pumpkin	sweet potato	basketball	monarch butterfly
yellow	wood	taxi	rubber duck	daffodil	cheese
green	stop sign	turtle	frog	leprechaun	cactus
blue	avocado	blueberry	ocean	sapphire	blue jay
purple	pig	lilac	amethyst	lavender	grape
brown	licorice	soil	wood	teddy bear	iced tea
black	iced tea	labrador	licorice	black widow	coal
white	turtle	snowflake	iceberg	cloud	skeleton
pink	wood	cotton candy	pig	tongue	strawberry ice cream
red	teddy bear	heart	lips	stop sign	cardinal
orange	top hat	orange	carrot	basketball	canteloupe
yellow	bubble gum	school bus	cheese	chick	macaroni
green	pink grapefruit	avocado	turtle	Statue of Liberty	frog
blue	fire truck	blueberry	cornflower	blue whale	jeans
purple	tooth	lilac	amethyst	taro	violet
brown	eraser	walnut	peanut shell	grizzly bear	iced tea
black	monarch butterfly	black widow	tuxedo	labrador	licorice
white	lilac	cloud	paper towel	iceberg	rice
pink	blue whale	eraser	tongue	cotton candy	strawberry ice cream
red	goldfish	lips	ladybug	tomato	stop sign
orange	labrador	sweet potato	basketball	carrot	pumpkin
yellow	stop sign	chick	school bus	lemon	butter
green	sweet potato	alligator	Statue of Liberty	broccoli	avocado
blue	chile pepper	jeans	blueberry	Uranus	cornflower
purple	turtle	lavender	grape	lilac	amethyst
brown	orange	cork	soil	paper bag	peanut shell
black	avocado	night sky	videotape	tuxedo	top hat
white	beaver	cloud	rice	snowman	milk
pink	bluebird	tongue	eraser	pig	flamingo
red	sweet potato	heart	cardinal	tomato	strawberry
orange	videotape	carrot	orange	sweet potato	pumpkin
yellow	sweet potato	daffodil	egg yolk	chick	lemon
green	night sky	celery	frog	Statue of Liberty	turtle
blue	avocado	Uranus	sapphire	blueberry	ocean
purple	chalkboard	grape	eggplant	violet	plum
brown	top hat	walnut	wood	soil	teddy bear
black	macaroni	night sky	tuxedo	labrador	top hat
white	Uranus	polar bear	milk	skeleton	iceberg
pink	beaver	cotton candy	flamingo	eraser	bubble gum
red	pretzel	heart	chile pepper	cardinal	strawberry
orange	amethyst	canteloupe	sweet potato	orange	carrot
yellow	emerald	daffodil	school bus	corn kernel	macaroni
green	chalkboard	avocado	Statue of Liberty	celery	alligator
blue	grass	Uranus	blue whale	bluebird	blue jay
purple	tuxedo	amethyst	plum	violet	grape
brown	Statue of Liberty	walnut	iced tea	cork	peanut shell
black	grape	top hat	crow	black widow	licorice
white	wood	paper towel	snowflake	polar bear	tooth
pink	taxi	pink grapefruit	bubble gum	cotton candy	tongue
red	flamingo	Mars	cardinal	cherry	ruby
orange	chick	goldfish	monarch butterfly	canteloupe	carrot
yellow	eraser	lemon	canary	school bus	daffodil
green	black widow	grass	emerald	avocado	shamrock
blue	videotape	ocean	jeans	Uranus	blue jay
purple	teddy bear	taro	lavender	eggplant	lilac
brown	tuxedo	peanut shell	teddy bear	paper bag	walnut
black	flamingo	top hat	tuxedo	chalkboard	videotape
white	pig	dove	skeleton	paper towel	rice
pink	bluebird	bubble gum	strawberry ice cream	pig	cotton candy
red	celery	cherry	lips	ruby	cardinal
orange	macaroni	orange	sweet potato	carrot	pumpkin
yellow	bubble gum	lemon	sun	macaroni	daffodil
green	pretzel	grass	cactus	turtle	emerald
blue	sun	sky	cornflower	bluebird	Uranus
purple	blue jay	taro	lavender	plum	lilac
brown	orange	grizzly bear	soil	peanut shell	iced tea
black	peanut shell	coal	licorice	labrador	tuxedo
white	Uranus	cloud	dove	snowflake	polar bear
pink	sky	bubble gum	tongue	flamingo	eraser
red	lemon	lips	cherry	ruby	strawberry
orange	tomato	orange	basketball	monarch butterfly	carrot
yellow	skeleton	corn kernel	egg yolk	sun	omelet
green	pumpkin	grass	turtle	alligator	Statue of Liberty
blue	pig	blueberry	bluebird	cornflower	jeans
purple	canteloupe	eggplant	plum	lilac	lavender
brown	lemon	walnut	wood	paper bag	teddy bear
black	tomato	tuxedo	chalkboard	videotape	licorice
white	fire truck	polar bear	skeleton	paper towel	dove
pink	pumpkin	pig	strawberry ice cream	bubble gum	flamingo
red	strawberry ice cream	chile pepper	cherry	ladybug	Mars
orange	tuxedo	pumpkin	goldfish	sweet potato	carrot
yellow	pig	daffodil	macaroni	egg yolk	cheese
green	macaroni	celery	alligator	turtle	cactus
blue	monarch butterfly	Uranus	ocean	blueberry	blue whale
purple	top hat	amethyst	violet	lilac	grape
brown	pig	paper bag	soil	wood	teddy bear
black	cork	videotape	coal	crow	black widow
white	rubber duck	snowman	tooth	snowflake	skeleton
pink	omelet	tongue	bubble gum	flamingo	pink grapefruit
red	tongue	tomato	strawberry	heart	fire truck
orange	bluebird	sweet potato	goldfish	carrot	orange
yellow	Statue of Liberty	canary	daffodil	omelet	butter
green	daffodil	celery	frog	turtle	broccoli
